tanggal,co_dki1,Tavg,RH_avg,ss,ff_avg
11/14/2017,27,28,86,2.3,2
11/15/2017,22,27.8,83,2.2,1
11/16/2017,27,27.6,80,0.5,1
11/17/2017,32,27.7,82,2.5,1
11/18/2017,27,28.1,82,5,1
11/19/2017,22,27.2,85,3.3,1
11/20/2017,20,29.7,70,0,2
11/21/2017,19,28.1,72,5.2,1
11/22/2017,18,28.5,78,0.6,1
11/23/2017,18,29.5,75,3.7,2
11/24/2017,17,29.8,69,6.4,2
11/25/2017,18,29.9,70,7,1
11/26/2017,15,27.1,85,4,1
11/27/2017,16,26.5,85,1,3
11/28/2017,16,27,82,0.2,3
11/29/2017,16,27.9,79,1.6,1
11/30/2017,23,26.2,87,1,1
12/1/2017,21,27.4,77,0,2
12/2/2017,18,28.7,72,0.8,2
12/3/2017,17,29.2,72,4,3
12/4/2017,15,29.5,70,8,2
12/5/2017,18,29.7,68,8,2
12/6/2017,19,29.2,71,4.2,1
12/7/2017,19,29.3,73,6.8,2
12/8/2017,18,28.9,74,8.4,2
12/9/2017,18,29.2,75,8,2
12/10/2017,18,28.5,79,5,2
12/11/2017,17,27.6,81,3,1
12/12/2017,25,27,86,0,1
12/13/2017,24,27.1,80,0,2
12/14/2017,20,27.5,78,0,1
12/15/2017,18,28.1,75,0,2
12/16/2017,22,26.8,84,4.2,1
12/17/2017,18,26.9,82,0,2
12/18/2017,17,27.5,80,0,2
12/19/2017,19,27.3,82,0,2
12/20/2017,18,26.8,86,1.5,2
12/21/2017,22,26.5,86,1,1
12/22/2017,26,28.1,78,0,2
12/23/2017,21,28.4,71,4.4,2
12/24/2017,18,29.6,66,3.5,2
12/25/2017,14,29.4,65,6.8,2
12/26/2017,14,28.7,75,8.4,1
12/27/2017,15,28.7,78,6.2,1
12/28/2017,17,28.5,71,0.8,2
12/29/2017,21,28.6,74,2.5,1
12/30/2017,18,28.5,80,2.1,0
12/31/2017,21,27.6,83,0,1
1/1/2018,22,28.6,78,5.8,1
1/2/2018,12,29.8,69,8.5,1
1/3/2018,18,28.4,77,6,1
1/4/2018,20,29.3,75,5.9,1
1/5/2018,17,28.9,68,5.5,3
1/6/2018,14,28.9,69,2,3
1/7/2018,14,28.8,75,2.2,1
1/8/2018,19,28.6,74,0,2
1/9/2018,16,28.4,76,2,2
1/10/2018,16,28.3,73,3,2
1/11/2018,18,28.4,72,7,2
1/12/2018,18,28.1,73,1.3,3
1/13/2018,17,29.1,65,2.6,2
1/14/2018,17,26.2,83,3.8,2
1/15/2018,19,25.8,85,1.3,1
1/16/2018,19,27.4,72,2,2
1/17/2018,19,27.7,76,3.7,2
1/18/2018,22,25.5,91,1,1
1/19/2018,27,26.3,82,0,3
